German,English
ohne gewähr,without guarantee
ohne Vorbehalte,without reservation
Ohnmacht,faint (noun), unconsciousness,
ombudsstelle,ombudsman
ortungssysteme,tracking system
Ost-West-Gefälle,east-west divide
overwhelm,überforderung
OZG-Onlinezugangsgesetz,Online Access Act
papagei,parrot
paradebeispiel,prime example
Parkverstoß,parking violation
parteiübergreifend,cross-party
parteivorstand,party executive
parteiwerten bekennen,commit to party values
Passiva,liabilities
pauschalen,flat rates
pauschalreise,package holiday
pausenlos,non-stop
Persönlichkeiten,personality
pfarrer,pastor
Pferdeentwurmungsmittel,horse dewormer
pferdemist,horse poop
Pferdezucht,horse breeding
pflegebedürftig,in need of care
plädieren,to plead
plaudern,chat
pleite gegangen,went bankrupt
pochen auf,insist on
politische druckmittel,political leverage
Polizeischüssen,police shooting
praxisnahe,practical
predigen,preaching
preisgabe,disclosure
prickelnd,sparkling
probeweise,on a trial basis
Probieren geht über Studieren,trying is the best way to find out
Problemfelder,problem areas
profilieren,define
profilierte,profiled?
Profitgier,greed for profit
Prominenz,celebrities
promptly,zeitnah
protect,schützen
Protestwelle,wave of protest
Prozessauftakt,start of trial
Prügeltrupps,gang
Pulverfass,ticking time bomb
put,stecken
Putschen,coup
quengeln,whine
quite/pretty,ziemlich
raffinierte,sophistication
Rahmen,framework or context
Rahmen,frame
Rande der Stadt,skirt of the city
Randphänomene,Marginal phenomena
Rankhilfe,trellis
ranklotzen,work hard
Rasche,Quick
Raststätte,highway rest area
ratlosigkeit,helplessness
ratsam,advisable
Ratseln,puzzle
raupen,caterpillars
Rautetaste,hash key
Razzien,raids
rechfertigen,justify
Rechnung,Invoice
Rechnungsprüfer,auditor
Rechnungsprüfung,invoice audit
rechtfertigen,justify
Rechtliche Erwägung,Legal consideration
rechtsbruchs,breach of law
Rechtsschutz,legal protection
Rechtsstaat,constitutional state
Rechtsstaatlichkeit,rule of law
rechtswidrig,unlawful
redewendung,idiom
Referat,presentation
referieren,report
Regelung,control
regenbogenfahne,rainbow flag
reibungslos,smooth
reichtum,wealth
reiseandenken,travel souvenir
Reisestrapazen,travel hardships
reisserisch,sensational
reißerisch,sensational
Reizen,irritate
reizen,tempt
reizvoll,attractive
relationships,verhältnisse
Renditen,Returns / Yield
renommmierte,renowned
research effort,forschungsanstrengung
ringsum,all around
risiken in Kauf nehmen,to take risk
rohstoffe,raw material
rücken ins Visier,come in focus
Rückendeckung,backing/support
Rückforderungen,reclaims
Rückgabe,return
Rückgewinnung,recovery
Rückgrat,backbone
Rückkehr,return
rücksichtslose,reckless
Rückstände,residue
rücktritt,resignation
Rückwärtshüpfen,backward hopping
Ruderverein,rowing club
rumbasteln,tinker around
Rumblüllen,yelling
rutschen,slide
saatgut,seeds
Sachbuch,non-fiction book
Sachverstand,expertise
Saldo,balance
salonfähig,socially acceptable
Samt,velvet
Samtig,soft
Sanfte Übungen,gentle exercises
Sanierungsfall,restructuring case
Sanierungsstau,renovation backlog
Sattelschlepper,semi trailer truck
sauerstoffen,oxygen
säuglinge,infants
Schachfeld,chessboard
Schadenersatzforderungen,claim for damage
Schadstoffbelästigung,pollution
Scheibenwischer,windshield wiper
scheidende Regierung,departing government
scheidende Regierung,departing government
scheinbar,apparently
scheindigitalisierung,pseudo-digitization
Scheinsicherheit,false security 
Scheinwerfer,headlights
scheitern,fail
Schiedrichter,referee
Schieflage,imbalance or precarious situation
Schienenmaut,Rail toll
schieren,sheer
schiffbruch,erlittenen shipwreck
schillernde,dazzling
schirmherrschaft,patronage
schlacht,battle
Schlachtung der Schafe,slaughter of sheep
Schlagzeilen,headlines
Schlammschlacht,mud battle
Schlauberger,smart aleck
schleierhaft,mysterious
schleppend,sluggish
schleuserbande,smuggling gang
schlicht,simply
schlichtweg,simply
schlichtweg,
Schließfächer,locker
schlimmerem,worse
Schlummertaste,snooze button
Schlupfloch,loophole
schlussfolgern,conclude
schlüssig,coherent
schlusslicht,tail light
Schlusslichter,Taillights
schlusspoint,puch line
schmeichelte,flatter
Schmiergeld,bribe money
Schnabel,beak
schnauze voll,fed up
schönheit daraus zu schöpfen,draw beauty from it
Schöpfer,creator
Schrecken,horror
schriftsteller,writer
Schritte,steps
Schrott,scrap
Schrumpfen,Contract (shrink)
schub verloren,loss of thrust (airplane)
Schufa-Bescheinigung,Schufa certificate
schuldenerlass,debt relief
schuldentilgung,debt repayment
schullaufbahn,school career
schulterblick,shoulder glance
schulterzucken,shrug
schürze,apron
schutzhüllen,protective cover
Schutzschilde,protective shield
schutzschirm,protective shield
Schwachkopf,moron
schwachsinn,nonsense
Schwachstellen,vulnerability
schwankt,fluctuates
schwankungen,fluctuations
schweben,hover
schweifen,wander
Schweigen,silence
Schwelle,threshold
Schwerlast,heavy load
schwerwiegende,serious
schwitzen,sweat
Seelsorger,pastor
Segen und Fluch,blessing and curse
Sehnsucht,longing
sehnsüchte,longings
seidenstrasse,silk road
Seilbahnunglück,cable car accident
Seilspringen,Rope skipping
seit geraumer Zeit,for quite some time
selbstauferlegte,self-imposed
Selbstbestimmung,self determination
selbsternannten,self-proclaimed
seltsam,strange
sinnesreize,sensory stimuli
sesshaft,settled
SGB (Sozialgesetzbuch),Social Code (German social law code)
Shattenflote,fleet
Sich in luft ausgelöst,disappeared into thin air
sicherheitsvorkehrungen,safety precautions
Siegermächte,WW2 victors
anzeichen,sign
Sitzfleisch,stamina (especially for sitting through long tasks)
sklaven,slave
Solar-Anlagen,Solar systems
Söldnern,mercenaries
sondergesandte,special envoy
Sondersitzung,special session
sondervermögen,special funds
sonderverwaltungsaktien,special administration share
Sonnenstrom,Solar electricity
sorgfältig,carefully
Spaltung (politisch),division (political)
Spannungen,tension
spannungsfeld,field of tension
sparkurs,austerity
spenden,donate
Sperrung,blocking
Spielraum,leeway
Spitzenvertreter,top representative
Sprengsatzen,
Sprengstoff,explosive material
Spüle,sink
Spürbar,noticable
staatsverschuldung,national debt
Stadttel,district
stammgästen,regular guests
stark bewirkt,strongly affected
stattdessen,instead
Stauseen,reservoirs
Stell dir vor,Imagine
stellenweise,here and there
stellvertretende,deputy
Sterntaste,star key
stetig,steadily
steuerentlastungen,tax relief
steuerschlupfloch,tax loophole
stichproben,sample
stiftung,foundation
stockdunkel,pitch black
stornieren,to cancel
Stornierung,cancellation
Stoßstange,bumper
Strafanzeige,criminal complaint
Strafbemessung,sentencing
Straffreiheit,impunity
Strahlung,radiation
straubt,resist
streben,strive
Streitkräften,Armed Forces
stromausfall,power outage
Studienbeiträge erhoben wurden,tuition fees were charged
stumm,Mute
sturmfrei,having the house to oneself
Stützpunkt,base
Subventionen,Subsidies
Suchmaschine,search engine
Summe,Total
Sündenfall,fall from grace
supposition,vermutung
survey,umfragen
Symbole,Icon
Szene,Scene
tagsüber,during the day
tapete,wallpaper
Taschentuch,Tissue
Tasse,Cup
Tastatur,Keyboard
Tätigkeit,Activity
tatort,crime scene
Tatsachen,Facts
tauchen,to submerge
taufelkreis,vicious circle
Tauglichkeit,suitability
Teamgeist,Team spirit
technology ausgerüstet,technology equipped
teilhabe,participation
Teilnehmen,Participate
territory,hoheitsgebiet
tiefgreifende,profound
tiefschlag,low blow
Tierhaltung,animal husbandry
tischlern,carpentry
too juicy,zu saftig
Töpfe mit Blumen,Flowerpots
törichten,foolish
tot geborgen,recovered dead
traditionelle Küche,Traditional cuisine
Tränen,Tears
transition,überleitung
Trauschein,marriage certificate
treibstoffzufuhr,fuel supply
treten,Kick
tretroller,scooter
Treu,Faithful
triebwerk,engine
tropenwalden,tropical forrest
Tröpfcheninfektion,droplet infection
trümmer,debris
truppenübungsgelände,military training area
typengenehmigung,type approval (for selling product)
übel,evil/nauseous
Übelkeit,nausea
überbordende,exuberant
überdrüssig werden,get tired of it
Übereinkunft,Agreement
Übereinstimmung,accordance/consensus
überfahrt,crossing
überfallen,attacked
überflüssigerweise,superfluously
überfrachtete,overloaded
ubergreifen,spread
übergriffen,attacked
Überholspak,jalan untuk nyalip
Überholspur,jalan untuk nyalip
Überlastung,overload
überlaufen,overcrowded
Uberlegenheit,superiority
Überrest,remnant
überreste,remains (e.g. of a castle)
uberschneidung,overlap
überschriften,headings
überschüssige,excess
Überschwemmung,flood
übersichtlichen,clear
übertragung leistungen,transfer service
Übertreiben,Exaggerate
Überwachung,surveillance
überwältigt,overwhelmed
überwiegend,predominantly
überwiegenden,vast/prominent
überwunden,overcome
überzeichnen,to exaggerate
überzogen,overdrawn
üblich zu sein,to be common
Ufer,Riverside
um den Hals fallen,to hug someone tightly
Um seine Zukunft bangen,fear for his future
umbaut,rebuild
umdenken,rethink
umfang,scope
umfangreiche,extensive
umfassende,comprehensive
umfasst,includes
umgekehrt,Reverse
umgekommen,Killed
Umhören,ask around
Umlageverfahren,pay as you go system
Umleitung,Detour
umlenkung effekt,trade diversion effect
Umliegenden,surrounding
Umrüstung,retrofit
umsatteln,change jobs
Umsatz,"sales/revenue
""Wir müssen den Umsatz im nächsten Quartal verbessern.""
We need to improve revenue in the next quarter."
Umschulung,retraining
Umsicht,Caution
umsiedlung,resettlement
Umsonst,Free of cost
umstände,circumstances
Umstellung,conversion
umstritten,controversial
umtreiben,bother\
umverteilung,redistribution
umweltabgabe,environmental tax
umwerfend,stunning
umziehen,Change clothes
Umzugskarton,moving box
unannehmlichkeit,inconvenience
unaufhaltsam,unstoppable
unbegreiflich,incomprehensible
unbehaglich,uncomfortable
Unbeirrbar,Unwavering
unberechenbar,unpredictable
unbeständig,unstable
unbeteiligt,uninvolved
unbewaffnete,unarmed
undurchsichtiger,more opaque
uneingeleiteten,uninitiated
unfassbar,unbelievably
Ungehorsam,disobedience
ungern,reluctantly
ungeschickt,clumsy
ungewollt,unintentionally
ungezwungenen,casual
ungünstigen,unfavorable
unmittelbar,directly
unsachlich,irrelevant
unschuldig,innocent
Unter Auflagen,Subject to conditions
unter berufung,under appeal
unter Verschluss halten,keep under lock
unterdessen,meanwhile
Unterführung,underpass
Unterhaltsvorschuss,Maintenance advance
unterhandlern,negotiators
unterlassen,Refrain from doing something
Unternehmerische,entrepreneurial
Untersagt,Prohibited
Unterschlupf,shelter
Unterschwellig,subtle/under the surface
unterstellen,assume
unterstellungen,misinterpretation
Unterstützung,support
Untersuchung,Examination
Untersuchungshaft,pre-trial detention
untertauchten,hide
unterworfen,subjected to
Untier,monster
unverkennbar,unmistakable
unversöhnlichen,irreconcilable
unverzüglich,immediately
unvollständig,incomplete
unwägbarkeiten,imponderable
Unwissenheit,ignorance
unzutreffend,inapplicable
Unzutreffend,Inapplicable
üppig,"lush, luxurious"
ureinwohner,indigenous
Urheberrecht,inequality
urig,rustic
Urlaubsreif,ready for vacation
Ursprung,origin
Ursprünglich,Initially
urwald,jungle
US-Staatsanleihen,US Treasury
Venedig,Venice
Verabredet sein,To have appointment
verabreicht,administered
veraltet,obsolete
verankert,anchored
veranlassen,prompts
Veranstaltung,"event
""Wir haben die Veranstaltung wegen des Regens abgesagt.""
We canceled the event because of the rain."
Verantwortung,Responsibility
verarbeitet werden,be processed
verarmt,impoverished
Verbieten,Forbid
verbindlich,binding
verbliebenen,remaining
Verbraucher,Consumer
Verbraucherreklamation,consumer complaint
verbrauchte Luft,used air
verbreitet,spread
Verbrennerverbot,combustion engine ban
verbunden,tied together
Verbündete,allies
verdächtige,suspicious
verdampft,evaporate
verdrängt,repressed
verdrehen,twist
Vereitelung,prevention/thwarting
vererben,inherited
verfahren,"1. Procedure, 2. Get lost while driving.
""Das Verfahren zur Bewerbung ist sehr einfach.""
The application process is very simple."
Verfall,decay
verfallen,"expire, deteriorate (expiration date)"
verfallsdatum,expiration date
verfasst,written
Verfassungsrang,Constitutional rank
verfassungswidrig,unconstitutional
verfolgung,persecution
Verfügbar,Available
Verfügung,disposal
verführerisch,seductive
Vergabe,award
vergänglich,transient
vergeblich,Unsuccessfully
Vergleich,comparison
Vergnügt,Cheerful
Verhaltenskodex,Code of Conduct
Verhandlung,negotiation
Verhangnis,disaster
verhängt,imposed
verheerenden,devastating
verherrlichte,glorified
verhungern,starve
Verlag,Publisher
verlagern,relocate
verlangen,demand
Verlaumdungsklage,defamation
verlegen,rescheduled
Verlegung,postponement
verlesungen,reading
Verliebtheit,infatuation
verlockend,tempting
Verlust,loss
vermehrbar,reproducible
Vermint,mined
vermittelbar,understandable
vermittlung voraussetzung,mediation requirement
Vermögensverteilung,distribution of wealth
vernachlässigt,neglected
Vernehmungen,interrogations
vernichten,to destroy
Vernichtung,destruction
vernichtung,extermination
vernünftig,Sensible
verpennt,overslept
Verpflegt,Catered
Verraten,Reveal a secret or betray
Versammlung,Meeting
versäumen,Missed (an event)
verschimmeln,mold
Verschlechterungen,deterioration
verschleiern,disguise
Verschleppten,abducted
verschmelzung,merger
verschont,spared
der Sturm hat kaum ein Haus verschont"
verschonungsregel,exemption rule
Verschwendung,waste
Verschwörungstheorien,Conspiracy theories
verseucht,contaminated (nuclear)
versöhnen sich,reconcile
Versorgung,supply
Versorgungsengpässe,supply bottleneck
verspannt,tense
verspiesen,consumed
versprochen,Promised
verständigen,communicate
verstrahlter,irradiated
versuchsgelände,test site
Verteilungskampf,fight regarding distribution
verteufelt,demonized
Vertrag,Contract
vertraglich,contractual
verträglich,digestible
vertraulich,confidential
vertreiben,expel / drive out
Vertretung,Representation
vertrieben,expelled
verunglückt,accident
Verunsicherung,uncertainty
verurteilen,condemn
verwaltungsgebiet,administrative area
verwandschaft,kinship
verwandt,Related
verweigerer,refuser
verweilten,lingered
verweiswörter,reference word
verwerflich,reprehensible
verwischt,blurry
verwöhnen,spoil/pamper
verwundbar,vulnerable
verwüstet,devastated
verzehren,consume
verzehren,consume
verzichten auf,Give up something voluntarily
verzögerung,delay
verzweifeln,despair
verzweiflung,despair
vielfacher Hinsicht,in many respects
vielmehr,rather
Vielseitigkeit,versatility
vollblutmusiker,full blooded musician
Völlig ausgeschlossen,Completely out of the question
vollkommen,absolutely
vom erdboden verschluckt,swallowed by the earth
von der Pike auf,from scratch
von fall zu fall,from case to case
Vorangekommen,progress
voranschreitender,advancing
voranbringen,to advance
Voraussetzung,requirement
voraussichtlich,Expected (probable)
vorderen,front
vordrängeln,queue jumping
vorerst,for now
Vorfeld,apron
vorgang,occurrence/action/process
Vorgänger,predecessor
vorgeschlagene,proposed
vorgesehenen,designated
vorgesetzen,superior
Vorgreifen,Anticipate
Vorhaben,project
vorhandene,existing
Vorhänge,curtains
vorherrschenden,predominantly 
vorrang,priority
Vorrat,"supply
""Der Vorrat an Trinkwasser geht zur Neige.""
The supply of drinking water is running low."
vorrätig,in stock
Vorreiterfunktion,pioneering role
vorrücken,advance
Vorschau,preview
Vorschriften,Rules
vorsprung gewonnen,gain a lead
vorstoß,advance
Vortrag,Lecture
vortragen,present (a presentation)
vorübergehende,temporary
Vorwahl,Phone prefix
Vorwürfe,Accusations
Vorzeichen,Sign
vorzubeugen,prevent
waagerecht,horizontal
wachgerüttelt,shaken awake
wachsamkeit,alertness
wachsfigurenkabinett,wax museum
wächst in rasant,grow rapidly
wachsweich,as soft as wax
Waffenniederlegung,laying down of arms
Waffenstillstand,ceasefire
Wahlbevolkerung,electorate
Wählerbestechung,voter bribery
Wahlkreis,electoral district
währenddessen,meanwhile
wahrnehmen,perceive
währungsfonds,monetary fund
Wahrzeichen,landmark
Waisen,Orphan
waldbrände,forest fire
walmdächer,gable roofs
wandlungsfähig,adaptable
warum wohl,I wonder why
Wasser auf die Mühlen strengen,fuel something (give support/argument)
Wassermangel,Water shortage
Wasserstoffnetze,hydrogen networks
Wasserstraßen,waterways
Wattwanderung,mudflat hiking tour
weckt neugier,arouse curiosity
wegkriegen,get rid of
Wegschauen,look away
wegschmeißen,throw away
wegschneiden,cut away
wegweisendes,groundbreaking
Wehrpflichtigen,conscript
weigern,Decline/Refuse
Weigerung,refusal
Weisheitszahn,wisdom tooth
weiter leiten,forward
weiterleiten,forward
weitgehend,to a large extent
weitreichende,Extensive
weitverzweigten,widespread
Welterbeliste,world heritage list
weltfremd,unrealistically
Wenden,Turn around
wer gemustert wird,who is being drafted
"Wer rastet, der rostet!","Who rests, rusts."
Werbetafel,billboard
Werdegang,career progression
wermutstropfen,drop of bitterness
wertpapiere,security
wertvoll,valuable
wesentliche,essential
Wettbewerbsfähigkeit,Competitiveness
wetterwirksam,sensitivity to weather
wettlauf,race
wettlesen,reading competition
Wettrüsten,arms race
widerlegbare,refutable/disprovable
widerlegte,refuted
widerrufen,to cancel
widersacher,adversary
widersprechen,to contradict
widersprüchlich,contradictory
widerstehen,"stand (stand high temperature, high humidity, etc)"
widerstrebender,reluctant
widerzuspiegeln,to reflect
wiederherstellen,to restore
Wiederholter,repeated
Wiese,Lawn
willkürlich,arbitrary
wirbelsäule,spine
wirksam,effectively
Wirtin,Landlady
Wirtschaftsberater,business consultant
Wirtschaftswachstum,Economic growth
wirtschaftszweig,industry
Wissenschaftsleugnung,science denial
wodurch,which means
wohlgesonnen,well disposed
Wohlstand,prosperity
wohltuende,soothing
wohlwollen,goodwill
wortführer,spokesman
Worthülsen,empty words
Wühltisch,bargain bin
wünschenswert,desirable
wunschenwert,desirable
Wunschvorstellungen,Wishful thinking
würdevoll,dignified
wuseligen,bustling
zaghaf,tentative
zaghaft,tentative
zaghafter widerstand,timid resistance
Zahlenwerk,Figure
Zaren,Tzars
zartem,tender
Zeit ablaufen,time run out
zeitfenster,time window
Zeitgeist,spirit of the time
zeitgenössischen,contemporary
Zeitraum,period
Zelle,cell
zerbröseln,crumble
zermürbt,worn down
zerreden,talk about something too much
zerstreute,scattered
zerwuchselt,disordered
zielgerichtete Zahlung,targeted payment
zielstrebig,purposeful
zierfische,ornamental fish
zu Umdenken bewegen,to change thinking (of other people)
zu unrecht,wrongly
Zu uns gestossen,joined us
Zudem,in addition
zufällig,random
Zufriedenheit,Satisfaction
zugausstattung,train equipment
zugeben,to admit
zugespitzt,pointy
Zugeständnisse,concessions
zugig,drafty
zugleich,at the same time
zukunftsfest,future proof
zulässig,permissible
Zulassung,admission
Zulieferbetriebe,suppliers
zumal,especially since
zumutbar,reasonable
Zumutung,unreasonable/imposition
zunehmend,increasingly
zuneigung,affection
zünglein an der waage,tipping of the scale
Zupackende,hands on
zurückbleiben,lag behind
Zurückgeht,Decrease
zurückwies,denied
zusammenrücken,move closer together
zusammenstossen,collide
zusätzliche,additional
Zuschuss,grant
Zustände,conditions
zustehen,to be entitled 
zustellorte,delivery location
Zustimmung,Approval
Zustroms,influx
Zuversicht,confidence
Zuzug,immigration
zwangsläufig,inevitably
zwangsmobilisiert,mobilized by force
zwei linke Hände haben,to be bad at manual tasks
zwielichtige,shady
Zwilling(e),twin(s)
Zwischenfall,incident
Zwischenrufe,Interjections
Zwischenüberschrift,subheading
zynisch,cynical
